Codigo,Programa,Area,Tipo,Electivo,Creditos,HorasTeoria,HorasPractica,HorasClase,HorasExtraclase,AreasCurriculares,Ubicacion,Requisitos,Correquisitos,EsRequisito,Asistencia,PosibilidadReconocimiento,PosibilidadSuficiencia,Vigencia
IEM2101,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6,1,,,,,,,
IEM2102,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6,3,,,,,,,
IEM2103,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6,4,,,,,,,
IEM2104,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6,5,,,,,,,
IEM2105,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,3,0,3,6,6,5,,,,,,,
IEM2106,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6,6,,,,,,,
IEM2107,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6,6,,,,,,,
IEM2108,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6,6,,,,,,,
IEM2109,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6,6,,,,,,,
IEM2110,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6,7,,,,,,,
IEM2111,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6,7,,,,,,,
IEM2112,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,0,2,2,7,6,8,,,,,,,
IEM2113,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,3,0,3,6,6,8,,,,,,,
IEM2114,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,0,2,2,7,6,9,,,,,,,
IEM2115,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico - Práctico,No,3,3,2,5,4,6,9,,,,,,,
IEM2155,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,2,0,4,4,2,4,5,,,,,,,
IEM2159,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,1,0,2,2,1,2,6,,,,,,,
IEM2161,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,1,0,2,2,1,2,7,,,,,,,
IEM2163,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,1,0,2,2,1,2,8,,,,,,,
IEM2201,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,4,5,11.5,3,,,,,,,
IEM2202,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,4,5,11.5,4,,,,,,,
IEM2203,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico - Práctico,No,2,3,2,5,1,7.7,5,,,,,,,
IEM2204,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico - Práctico,No,2,3,2,5,1,7.7,6,,,,,,,
IEM2205,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,4,5,11.5,7,,,,,,,
IEM2206,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,4,5,11.5,8,,,,,,,
IEM2207,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,4,5,11.5,9,,,,,,,
IEM2208,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,4,5,11.5,9,,,,,,,
IEM2251,Licenciatura en Ingeniería Electromecánica,Eléctrica,Práctico,No,1,0,2,2,1,3.8,3,,,,,,,
IEM2252,Licenciatura en Ingeniería Electromecánica,Eléctrica,Práctico,No,1,0,2,2,1,3.8,4,,,,,,,
IEM2255,Licenciatura en Ingeniería Electromecánica,Eléctrica,Práctico,No,1,0,2,2,1,3.8,7,,,,,,,
IEM2256,Licenciatura en Ingeniería Electromecánica,Eléctrica,Práctico,No,1,0,2,2,1,3.8,8,,,,,,,
IEM2301,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico,No,2,2,0,2,4,6.7,3,,,,,,,
IEM2302,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico,No,2,2,0,2,4,6.7,4,,,,,,,
IEM2303,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico - Práctico,No,3,3,1,4,5,10,6,,,,,,,
IEM2304,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico,No,2,4,0,4,2,6.7,7,,,,,,,
IEM2305,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico,No,2,3,0,3,3,6.7,7,,,,,,,
IEM2306,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico,No,3,3,0,3,6,10,7,,,,,,,
IEM2307,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico - Práctico,No,2,3,1,4,2,6.7,8,,,,,,,
IEM2308,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico,No,3,3,0,3,6,10,8,,,,,,,
IEM2309,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico,No,2,4,0,4,2,6.7,9,,,,,,,
IEM2310,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico,No,3,2,0,2,7,10,9,,,,,,,
IEM2311,Licenciatura en Ingeniería Electromecánica,Sistemas,Teórico - Práctico,No,3,1,3,4,5,10,10,,,,,,,
IEM2352,Licenciatura en Ingeniería Electromecánica,Sistemas,Práctico,No,1,0,2,2,1,3.3,4,,,,,,,
IEM2358,Licenciatura en Ingeniería Electromecánica,Sistemas,Práctico,No,1,0,2,2,1,3.3,8,,,,,,,
IEM2360,Licenciatura en Ingeniería Electromecánica,Sistemas,Práctico,No,1,0,2,2,1,3.3,9,,,,,,,
IEM2400,Licenciatura en Ingeniería Electromecánica,Ciencias Básicas,Teórico,No,3,0,1,1,8,100,8,,,,,,,
IEM2401,Licenciatura en Ingeniería Electromecánica,General,Teórico,Si,2,4,0,4,2,18.2,10,,,,,,,
IEM2402,Licenciatura en Ingeniería Electromecánica,General,Teórico,Si,2,4,0,4,2,18.2,10,,,,,,,
IEM2403,Licenciatura en Ingeniería Electromecánica,General,Práctico,No,7,0,21,21,0,63.6,10,,,,,,,
